,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
2,0.002,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
3,0.003,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
4,0.004,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
5,0.005,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
6,0.006,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
7,0.007,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
8,0.008,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
9,0.009,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
10,0.01,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
11,0.011,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
12,0.012,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
13,0.013,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
14,0.014,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
15,0.015,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
16,0.016,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
17,0.017,3617.0,2.0,2426.0,0.0,0.4013234077750207,0.0,0.4013234077750207
18,0.018,3617.0,2.0,2426.0,0.0,0.4013234077750207,0.0,0.4013234077750207
19,0.019,3617.0,2.0,2426.0,0.0,0.4013234077750207,0.0,0.4013234077750207
20,0.02,3617.0,3.0,2425.0,0.0,0.4011579818031431,0.0,0.4011579818031431
21,0.021,3617.0,3.0,2425.0,0.0,0.4011579818031431,0.0,0.4011579818031431
22,0.022,3617.0,5.0,2423.0,0.0,0.4008271298593879,0.0,0.4008271298593879
23,0.023,3617.0,6.0,2422.0,0.0,0.4006617038875103,0.0,0.4006617038875103
24,0.024,3617.0,6.0,2422.0,0.0,0.4006617038875103,0.0,0.4006617038875103
25,0.025,3617.0,8.0,2420.0,0.0,0.4003308519437552,0.0,0.4003308519437552
26,0.026,3617.0,8.0,2420.0,0.0,0.4003308519437552,0.0,0.4003308519437552
27,0.027,3617.0,11.0,2417.0,0.0,0.3998345740281224,0.0,0.3998345740281224
28,0.028,3617.0,12.0,2416.0,0.0,0.3996691480562448,0.0,0.3996691480562448
29,0.029,3617.0,14.0,2414.0,0.0,0.39933829611248967,0.0,0.39933829611248967
30,0.03,3617.0,14.0,2414.0,0.0,0.39933829611248967,0.0,0.39933829611248967
31,0.031,3617.0,16.0,2412.0,0.0,0.3990074441687345,0.0,0.3990074441687345
32,0.032,3617.0,20.0,2408.0,0.0,0.39834574028122416,0.0,0.39834574028122416
33,0.033,3617.0,20.0,2408.0,0.0,0.39834574028122416,0.0,0.39834574028122416
34,0.034,3617.0,21.0,2407.0,0.0,0.3981803143093466,0.0,0.3981803143093466
35,0.035,3617.0,22.0,2406.0,0.0,0.398014888337469,0.0,0.398014888337469
36,0.036,3617.0,22.0,2406.0,0.0,0.398014888337469,0.0,0.398014888337469
37,0.037,3617.0,23.0,2405.0,0.0,0.3978494623655914,0.0,0.3978494623655914
38,0.038,3617.0,23.0,2405.0,0.0,0.3978494623655914,0.0,0.3978494623655914
39,0.039,3617.0,23.0,2405.0,0.0,0.3978494623655914,0.0,0.3978494623655914
40,0.04,3617.0,25.0,2403.0,0.0,0.3975186104218362,0.0,0.3975186104218362
41,0.041,3617.0,28.0,2400.0,0.0,0.3970223325062035,0.0,0.3970223325062035
42,0.042,3617.0,29.0,2399.0,0.0,0.39685690653432587,0.0,0.39685690653432587
43,0.043,3617.0,31.0,2397.0,0.0,0.3965260545905707,0.0,0.3965260545905707
44,0.044,3617.0,35.0,2393.0,0.0,0.39586435070306036,0.0,0.39586435070306036
45,0.045,3617.0,35.0,2393.0,0.0,0.39586435070306036,0.0,0.39586435070306036
46,0.046,3617.0,36.0,2392.0,0.0,0.3956989247311828,0.0,0.3956989247311828
47,0.047,3617.0,37.0,2391.0,0.0,0.3955334987593052,0.0,0.3955334987593052
48,0.048,3617.0,41.0,2387.0,0.0,0.39487179487179486,0.0,0.39487179487179486
49,0.049,3617.0,41.0,2387.0,0.0,0.39487179487179486,0.0,0.39487179487179486
50,0.05,3617.0,43.0,2385.0,0.0,0.3945409429280397,0.0,0.3945409429280397
51,0.051,3617.0,45.0,2383.0,0.0,0.39421009098428456,0.0,0.39421009098428456
52,0.052,3617.0,45.0,2383.0,0.0,0.39421009098428456,0.0,0.39421009098428456
53,0.053,3617.0,46.0,2382.0,0.0,0.3940446650124069,0.0,0.3940446650124069
54,0.054,3617.0,46.0,2382.0,0.0,0.3940446650124069,0.0,0.3940446650124069
55,0.055,3617.0,46.0,2382.0,0.0,0.3940446650124069,0.0,0.3940446650124069
56,0.056,3617.0,48.0,2380.0,0.0,0.3937138130686518,0.0,0.3937138130686518
